valid_time,year,t2m_c,d2m_c,RH,tp_mm,ssrd_MJ,municipio
2020-09-01,2020,15.739166,12.045319,78.686264,9.199519,18.80288,Ricaurte-Moniquira
2020-10-01,2020,19.398834,15.151398,76.451614,10.657035,19.532896,La Union-Narino
2020-10-01,2020,15.952301,12.327789,79.07694,10.002987,17.81384,Ricaurte-Moniquira
2020-11-01,2020,18.620758,15.85733,83.96764,14.284492,18.789814,La Union-Narino
2020-11-01,2020,15.525055,13.613922,88.394394,9.4634,15.641182,Ricaurte-Moniquira
2020-12-01,2020,18.139313,16.17398,88.307076,19.29989,15.999548,La Union-Narino
2020-12-01,2020,15.488922,12.681793,83.36989,4.087639,17.52864,Ricaurte-Moniquira
2021-01-01,2021,18.291656,15.935822,86.14764,18.758402,18.184616,La Union-Narino
2021-01-01,2021,15.773102,11.131744,73.91677,2.3106694,20.192287,Ricaurte-Moniquira
2021-02-01,2021,18.65982,16.356232,86.47111,14.774565,17.081152,La Union-Narino
2021-02-01,2021,15.62735,11.897736,78.484634,4.167662,19.750496,Ricaurte-Moniquira
2021-03-01,2021,18.064362,15.782623,86.53431,17.287844,16.678783,La Union-Narino
2021-03-01,2021,14.98111,12.474884,84.972885,8.829885,17.832264,Ricaurte-Moniquira
2021-04-01,2021,18.355133,15.94632,85.862946,20.138338,16.619484,La Union-Narino
2021-04-01,2021,15.938141,13.268219,84.172844,11.793793,16.844131,Ricaurte-Moniquira
2021-05-01,2021,18.899933,16.18863,84.278694,19.435268,16.902897,La Union-Narino
2021-05-01,2021,16.302399,13.57193,83.88281,10.644872,16.516136,Ricaurte-Moniquira
2021-06-01,2021,18.341461,15.54837,83.776794,17.521471,16.38261,La Union-Narino
2021-06-01,2021,15.703522,12.889801,83.35922,9.740982,16.87343,Ricaurte-Moniquira
2021-07-01,2021,19.095612,14.060455,72.61272,7.8938603,16.871996,La Union-Narino
2021-07-01,2021,16.039703,11.945221,76.68257,8.059406,18.252752,Ricaurte-Moniquira
2021-08-01,2021,18.742828,13.989288,73.88784,13.388045,18.44352,La Union-Narino
2021-08-01,2021,15.745758,12.293121,79.94544,9.32364,17.92992,Ricaurte-Moniquira
2021-09-01,2021,18.829254,14.126251,74.14509,13.535638,19.819344,La Union-Narino
2021-09-01,2021,15.683258,12.129059,79.40462,8.625181,18.550495,Ricaurte-Moniquira
2021-10-01,2021,18.38028,15.705719,84.419304,17.513401,18.031864,La Union-Narino
2021-10-01,2021,15.810822,13.190094,84.4291,9.731557,17.117552,Ricaurte-Moniquira
2021-11-01,2021,18.021759,16.151398,88.833664,17.513857,15.770295,La Union-Narino
2021-11-01,2021,15.496613,13.152985,85.935974,6.568093,17.228369,Ricaurte-Moniquira
2021-12-01,2021,18.360748,16.56009,89.25569,17.323893,15.830987,La Union-Narino
2021-12-01,2021,15.824127,13.469879,85.90967,4.9853015,17.079296,Ricaurte-Moniquira
2022-01-01,2022,18.006622,15.862946,87.295944,15.918556,16.370687,La Union-Narino
2022-01-01,2022,15.2586975,12.263702,82.320786,3.0253148,18.908031,Ricaurte-Moniquira
2022-02-01,2022,17.845612,15.928131,88.55254,19.125875,15.607302,La Union-Narino
2022-02-01,2022,15.051178,12.63089,85.460526,6.966182,17.554289,Ricaurte-Moniquira
2022-03-01,2022,18.087555,15.880402,86.95004,19.638706,16.518625,La Union-Narino
2022-03-01,2022,15.504547,13.1909485,86.10534,8.9019165,17.825584,Ricaurte-Moniquira
2022-04-01,2022,18.532501,16.134308,85.93896,21.821678,17.003876,La Union-Narino
2022-04-01,2022,15.677399,13.299957,85.76503,12.110144,16.447742,Ricaurte-Moniquira
2022-05-01,2022,18.481354,15.96463,85.28619,20.383722,16.228703,La Union-Narino
2022-05-01,2022,16.354645,13.344391,82.37478,10.527998,16.313486,Ricaurte-Moniquira
2022-06-01,2022,17.640778,15.214508,85.694695,18.656366,16.858112,La Union-Narino
